#{"t_start": 1627262560.045237, "env_id": "SlimeVolley-v0"}
r,l,t
-5,753,75.549995
-5,562,75.931413
-5,558,76.521576
-5,659,77.15989
-5,530,77.503483
-5,472,78.032282
-5,573,78.410061
-5,670,79.169319
-5,563,79.590661
-5,924,80.446
-5,760,81.161897
-5,385,81.415361
-5,647,82.07034
-4,613,82.696088
-5,683,83.13263
-5,539,83.762477
-5,843,84.579611
-5,589,84.958804
-5,512,85.505822
-5,522,85.847072
-5,755,86.54859
-5,597,86.934744
-5,854,87.719859
-5,609,88.332362
-5,544,88.689214
-5,492,89.222869
-5,557,89.63855
-5,657,90.29803
-5,708,91.031405
-4,553,91.391055
-4,850,92.19838
-5,555,92.776925
-5,471,93.079781
-4,948,93.948481
-5,700,94.698114
-4,743,95.390442
-5,439,95.69145
-5,774,96.424032
-4,878,97.217131
-5,563,97.574883
-5,518,98.181699
-5,535,98.539588
-5,606,99.222237
-5,532,99.583509
-5,668,100.326466
-5,746,101.132123
-5,748,101.619538
-4,955,102.466241
-5,605,103.074364
-5,727,103.83923
-5,595,104.29945
-5,483,104.880045
-5,473,105.191518
-5,533,105.76944
-3,692,106.220368
-5,663,106.890646
-5,406,107.158171
-5,397,107.635031
-5,858,108.453655
-5,613,108.867238
-5,442,109.378802
-5,591,109.758502
-5,498,110.288388
-5,550,110.650576
-5,590,111.253127
-5,507,111.59606
-5,436,112.111263
-5,655,112.534166
-3,1226,113.876553
-5,712,114.432007
-5,427,114.948469
-5,553,115.315358
-5,629,115.939898
-5,577,116.332243
-5,655,116.979773
-5,611,117.584175
-4,1275,118.616969
-5,639,119.060367
-5,565,119.708838
-5,578,120.298171
-5,434,120.587718
-5,493,120.935015
-5,677,121.573516
-5,704,122.278236
-5,869,123.092755
-5,458,123.392962
-5,553,123.973438
-5,637,124.38669
-4,696,125.066817
-5,567,125.643596
-5,584,126.026886
-5,665,126.735273
-5,500,127.117993
-5,649,127.828344
-5,662,128.496929
-5,829,129.041392
-5,704,129.721422
-5,618,130.340212
-5,571,130.713331
-5,730,131.4148
-4,643,132.032532
-4,696,132.491162
-5,599,133.112576
-2,925,133.930351
-5,467,134.238713
-5,592,134.853611
-5,650,135.283154
-5,779,135.996142
-5,412,136.472855
-5,677,136.918732
-4,707,137.69061
-4,978,138.613358
-5,601,139.002606
-5,503,139.555741
-5,786,140.294505
-5,755,140.787873
-5,690,141.459091
-5,668,142.118551
-5,567,142.488844
-4,578,143.093271
-5,755,143.825038
-5,606,144.220502
-5,494,144.749201
-3,846,145.295241
-5,775,146.062583
-5,530,146.636011
-5,496,146.957825
-5,450,147.489264
-5,965,148.343451
-4,597,148.734143
-5,900,149.550477
-5,561,150.153278
-5,514,150.454582
-5,809,151.205595
-5,548,151.570953
-5,519,152.13697
-3,756,152.856183
-5,574,153.212811
-5,460,153.759315
-5,688,154.203457
-5,450,154.723947
-5,702,155.384579
-4,782,155.906869
-5,704,156.635054
-5,577,157.230366
-5,552,157.586334
-5,511,158.150578
-5,582,158.53889
-5,893,159.453603
-5,803,160.20417
-5,682,160.644165
-5,475,161.170758
-5,603,161.763627
-5,471,162.085051
-5,520,162.420647
-5,612,163.039342
-5,631,163.670353
-5,767,164.175833
-5,752,164.873642
-5,643,165.501605
-5,876,166.310855
-5,564,166.679719
-5,859,167.446251
-5,475,167.971457
-5,625,168.381444
-5,685,169.056535
-5,695,169.508317
-4,556,170.11315
-5,729,170.81176
-4,806,171.559771
-5,725,172.052421
-4,790,172.855716
-5,527,173.499754
-5,486,173.849177
-5,584,174.449027
-5,520,174.78742
-5,619,175.440815
-5,743,175.970185
-4,847,176.742541
-5,624,177.371927
-5,635,177.780072
-5,480,178.396744
-4,709,179.119337
-5,439,179.406788
-4,691,180.126154
-5,522,180.535193
-4,709,181.3201
-4,763,182.115638
-5,544,182.466762
-4,776,183.199935
-5,494,183.524863
-5,526,184.083696
-5,495,184.423388
-4,810,185.151647
-5,485,185.690468
-5,603,186.082072
-5,567,186.680958
-5,757,187.39857
-5,460,187.697474
-5,735,188.407721
-5,571,188.779534
-5,813,189.523903
-4,1017,190.392104
-5,666,191.048307
-5,737,191.523116
-5,412,192.009608
-5,740,192.701359
-5,812,193.237648
-5,524,193.843419
-5,735,194.552433
-5,595,194.938124
-5,569,195.595289
-4,783,196.344966
-4,690,196.817002
-5,829,197.578752
-5,680,198.242184
-5,722,198.759117
-4,676,199.403426
-5,520,199.958048
-5,470,200.307158
-5,557,200.9313
-5,553,201.297734
-5,617,201.924322
-5,508,202.227614
-4,868,203.062816
-5,680,203.786711
-5,690,204.234588
-5,684,204.917935
-5,736,205.613452
-4,804,206.33411
-5,504,206.666851
-5,816,207.440181
-5,447,207.764907
-5,579,208.374506
-5,579,208.747495
-5,886,209.564866
-5,732,210.269222
-4,590,210.879701
-5,745,211.367568
-5,423,211.873757
-5,464,212.182295
-5,459,212.692968
-5,614,213.114863
-5,621,213.752467
-5,735,214.479244
-5,527,214.82767
-5,824,215.653179
-5,678,216.099131
-5,684,216.765552
-5,454,217.297966
-5,753,217.81673
-5,849,218.624348
-5,757,219.344028
-4,892,220.130446
-5,478,220.437232
-5,801,221.193337
-5,483,221.505443
-5,443,222.001184
-5,951,222.820187
-5,582,223.216508
-5,611,223.837793
-5,621,224.4702
-5,780,224.977019
-5,630,225.637358
-5,501,226.015124
-5,517,226.562423
-3,1055,227.478091
-5,625,228.206332
-5,644,228.680437
-5,712,229.47969
-5,545,229.898429
-5,669,230.678985
-5,636,231.406087
-5,439,231.770773
-5,573,232.410174
-5,890,233.22933
-5,665,233.690239
-5,565,234.290472
-5,514,234.631348
-5,559,235.22882
-5,628,235.66329
-5,889,236.513953
-5,608,237.149305
-5,413,237.415443
-5,597,238.058906
-5,785,238.823108
-5,740,239.372591
-5,810,240.13773
-5,773,240.868405
-5,689,241.572128
-5,515,241.918733
-4,702,242.605896
-5,500,242.943412
-4,709,243.658978
-5,869,244.446656
-5,554,245.131581
-5,759,245.99946
-5,952,246.940334
-5,637,247.696908
-4,592,248.130917
-4,839,248.987899
-5,698,249.73965
-5,668,250.267741
-5,558,250.963602
-5,513,251.388668
-5,505,252.017686
-5,642,252.803521
-5,660,253.257422
-4,774,254.091752
-5,702,254.84464
-5,540,255.212069
-5,626,255.855778
-4,761,256.584732
-5,756,257.087211
-5,666,257.808345
-5,653,258.494065
-5,856,259.057483
-5,546,259.636298
-4,838,260.419472
-4,850,261.234611
-4,965,262.08883
-5,520,262.424067
-5,490,262.947542
-5,586,263.369285
-5,663,264.032888
-5,536,264.384285
-5,1186,265.361705
-5,783,266.09465
-4,800,266.943397
-5,669,267.624475
-4,665,268.065228
-5,458,268.665023
-5,634,269.155916
-4,745,269.982238
-5,611,270.697863
-5,624,271.180132
-5,522,271.769755
-5,644,272.195002
-5,503,272.752852
-5,481,273.068526
-5,668,273.74533
-5,657,274.412587
-4,783,274.931427
-5,482,275.460989
-5,731,276.172471
-4,934,277.053353
-5,612,277.475735
-5,579,278.058926
-3,891,278.875653
-5,546,279.235388
-5,1006,280.113483
-4,687,280.866689
-5,567,281.279238
-5,404,281.759174
-5,941,282.619447
-5,495,282.948592
-5,767,283.6798
-5,537,284.049685
-5,715,284.775385
-5,480,285.299096
-5,910,285.9245
-5,638,286.5735
-5,753,287.288608
-5,637,287.703437
-4,651,288.326169
-5,790,289.043879
-5,649,289.482822
-5,601,290.17992
-5,671,290.953925
-5,522,291.293645
-4,1123,292.299722
-5,603,292.960387
-5,699,293.608838
-5,647,294.023796
-5,602,294.637622
-5,755,295.323582
-5,766,295.825433
-5,749,296.533624
-4,850,297.327128
-5,942,298.261717
-5,506,298.650157
-5,611,299.280718
-5,552,299.666371
-5,897,300.530295
-5,498,301.132782
-5,589,301.522789
-5,531,302.106169
-5,666,302.547423
-5,487,303.106857
-5,502,303.455327
-5,797,304.196045
-5,530,304.780587
-5,927,305.615941
-4,879,306.489016
-5,565,306.903676
-5,508,307.459027
-5,583,307.847644
-5,779,308.563389
-5,874,309.418936
-5,495,309.746131
-5,476,310.269545
-5,786,310.776976
-4,907,311.586024
-4,626,312.201714
-5,733,312.899642
-4,985,313.801056
-5,770,314.297843
-5,605,314.903355
-4,719,315.598156
-5,681,316.041106
-5,671,316.692472
-5,639,317.342299
-5,569,317.707572
-5,606,318.314079
-4,528,318.706522
-5,599,319.348623
-5,475,319.703633
-5,504,320.266898
-5,541,320.620987
-5,552,321.206854
-5,568,321.58544
-5,670,322.291248
-5,624,323.02244
-5,576,323.399128
-5,624,324.098742
-5,973,324.947752
-5,803,325.688266
-5,489,326.012288
-5,628,326.639025
-5,827,327.382628
-5,503,327.727999
-5,624,328.357381
-3,741,328.839636
-5,610,329.44634
-5,562,329.847303
-4,683,330.520754
-5,712,331.215624
-4,743,331.922249
-4,703,332.390863
-5,783,333.127759
-4,786,333.867932
-5,518,334.204069
-5,907,334.988463
-5,599,335.591978
-5,551,335.960383
-5,570,336.556494
-5,477,336.874087
-5,649,337.505037
-5,728,338.199013
-5,678,338.639482
-5,773,339.424631
-5,599,340.038956
-4,740,340.569416
-5,839,341.324625
-5,1110,342.271808
-5,706,342.96827
-5,498,343.292407
-5,692,343.958471
-5,517,344.517808
-5,664,344.953721
-4,908,345.755954
-5,648,346.411713
-5,754,347.159862
-5,797,347.695706
-5,709,348.38333
-5,688,349.050432
-5,408,349.316634
-5,835,350.087588
-5,433,350.369812
-4,827,351.214025
-5,658,351.864574
-4,852,352.643523
-5,488,352.98828
-5,715,353.791054
-5,671,354.254009
-5,678,354.909616
-5,452,355.412501
-5,536,355.764258
-5,474,356.306367
-5,937,356.927994
-5,533,357.580085
-5,645,358.326485
-5,776,358.829269
-5,726,359.505485
-5,638,360.15081
-4,665,360.635377
-5,688,361.35323
-4,944,362.19585
-5,792,362.938902
-5,640,363.354886
-5,795,364.080467
-5,742,364.779409
-5,649,365.204306
-5,814,365.991949
-5,751,366.752384
-5,1110,367.699403
-5,558,368.316918
-5,447,368.631182
-5,1005,369.48246
-5,790,370.207159
-4,984,371.080202
-5,729,371.753662
-4,1164,372.743056
-5,1147,373.718258
-5,434,373.999577
-5,1057,374.89927
-4,821,375.644329
-5,787,376.379955
-5,605,376.786732
-5,576,377.422387
-5,850,378.220252
-5,796,378.983701
-5,741,379.475472
-4,783,380.207252
-5,528,380.776074
-5,540,381.177874
-5,752,381.95765
-4,785,382.696182
-5,765,383.200156
-5,600,383.821895
-5,799,384.679879
-5,476,385.000212
-5,538,385.607803
-5,679,386.059373
-4,988,386.935812
-5,858,387.717556
-5,524,388.287902
-5,959,389.128379
-5,451,389.420654
-5,722,390.105074
-5,804,390.942745
-5,965,391.674587
-5,1056,392.832448
-5,717,393.319397
-5,734,394.027648
-5,633,394.651425
-5,569,395.030821
-5,547,395.614497
-5,633,396.028413
-5,1145,396.994062
-5,769,397.741436
-5,585,398.347049
-4,782,398.85552
-5,566,399.465023
-5,620,400.154903
-4,761,400.681325
-5,644,401.343271
-5,748,402.122999
-5,631,402.53378
-5,570,403.202136
-5,523,403.553913
-4,660,404.221785
-5,604,404.863324
-5,638,405.29022
-4,902,406.112204
-5,652,406.765624
-5,858,407.549461
-5,743,408.045985
-5,649,408.685554
-5,961,409.591828
-3,880,410.410786
-5,887,411.313029
-5,536,411.74678
-5,697,412.514457
-5,490,412.833822
-3,855,413.679076
-5,783,414.489213
-5,662,415.165492
-5,769,415.71857
-4,833,416.517661
-4,908,417.376904
-5,594,417.981531
-5,718,418.448828
-5,572,419.023511
-5,519,419.401388
-5,617,420.097025
-5,736,420.789377
-5,650,421.213986
-5,760,422.016321
-5,1036,422.917687
-5,829,423.704197
-4,721,424.401785
-5,701,424.860975
-5,422,425.362194
-4,673,425.813211
-5,724,426.536403
-5,741,427.242123
-5,752,428.011683
-5,535,428.372396
-5,504,428.907618
-5,701,429.377316
-4,861,430.172446
-5,599,430.780722
-5,515,431.114719
-4,655,431.752719
-5,1159,432.748655
-5,600,433.155581
-5,603,433.778682
-5,674,434.45805
-5,575,434.837841
-5,1083,435.86685
-5,550,436.548253
-5,692,437.330535
-5,616,437.78835
-5,731,438.524944
-5,476,438.862408
-5,518,439.483685
-5,810,440.310453
-5,862,440.945464
-5,699,441.740801
-5,926,442.615236
-5,654,443.372902
-5,974,444.241404
-5,643,444.660129
-5,903,445.469153
-4,892,446.29006
-5,508,446.883127
-5,589,447.230724
-5,622,447.857322
-5,707,448.329567
-5,661,448.968498
-5,560,449.538013
-5,835,450.08378
-5,538,450.666082
-5,1024,451.541502
-5,1103,452.499929
-5,597,453.149796
-4,968,453.988701
-5,572,454.39325
-5,657,455.123435
-5,612,455.518876
-4,889,456.321248
-5,628,456.968604
-5,570,457.338377
-5,676,458.00457
-5,882,458.81191
-5,944,459.659651
-5,837,460.418298
-5,689,460.87435
-5,807,461.623522
-5,600,462.259975
-5,639,462.726141
-5,846,463.503287
-5,629,464.142982
-5,565,464.505833
-5,591,465.12605
-5,580,465.498655
-5,1064,466.449044
-5,607,467.098644
-5,633,467.799979
-5,874,468.627058
-5,736,469.134606
-5,719,469.817091
-5,786,470.544559
-5,754,471.0467
-5,871,471.812407
-5,660,472.446549
-5,695,473.122849
-5,553,473.479254
-5,783,474.190766
-5,759,474.916781
-4,1182,475.890109
-4,677,476.567017
-4,879,477.17714
-5,741,477.869941
-5,705,478.565405
-5,696,479.038772
-5,872,479.864762
-5,1063,480.776743
-5,943,481.607909
-5,919,482.426914
-5,566,483.0261
-5,652,483.45292
-5,750,484.160446
-5,803,484.909948
-5,839,485.696067
-5,888,486.486679
-5,1023,487.510982
-5,646,487.952272
-5,725,488.638197
-5,645,489.261397
-5,551,489.620437
-5,842,490.38645
-5,564,490.756609
-4,620,491.380857
-5,782,492.120481
-5,617,492.519101
-5,794,493.286091
-5,511,493.884495
-5,512,494.216775
-4,761,495.043823
-5,934,495.94765
-5,845,496.725045
-5,499,497.093222
-4,1037,498.004608
-5,760,498.707325
-5,824,499.474182
-3,884,500.318356
-5,867,500.880772
-5,759,501.670361
-5,458,502.18432
-5,965,503.02409
-5,650,503.46616
-4,866,504.236913
-4,953,505.072719
-5,805,505.872458
-5,844,506.639239
-5,905,507.225425
-5,588,507.840442
-5,647,508.471392
-5,653,508.8909
-5,704,509.601835
-5,1007,510.481806
-5,546,511.068222
-5,608,511.523633
-4,649,512.179794
-5,822,512.995187
-5,747,513.479176
-5,668,514.147744
-5,726,514.825999
-5,515,515.162609
-5,917,516.006607
-5,709,516.733154
-5,909,517.552422
-5,615,517.967433
-5,696,518.631531
-5,598,519.020456
-5,846,519.790673
-5,923,520.613783
-3,824,521.356099
-5,753,522.077277
-5,536,522.427447
-5,691,523.135159
-5,543,523.514382
-5,829,524.361894
-5,706,525.05641
-5,643,525.692642
-5,680,526.197929
-5,484,526.762741
-4,701,527.233322
-5,956,528.173217
-5,698,528.889035
-4,868,529.69518
-5,541,530.06169
-5,627,530.696541
-5,771,531.441693
-5,567,531.811459
-5,770,532.555733
-5,716,533.21597
-5,1140,534.246
-5,969,535.122182
-5,788,535.89917
-5,1238,537.022187
-5,1062,537.941819
-4,856,538.7388
-5,789,539.256314
-5,1072,540.381224
-5,630,540.802581
-5,504,541.388859
-5,697,541.859253
-5,774,542.582349
-5,668,543.233196
-4,667,543.696298
-5,945,544.541538
-5,521,545.095268
-4,614,545.488702
-5,717,546.19174
-5,703,546.875714
-5,843,547.650694
-4,919,548.482763
-5,658,548.93659
-5,609,549.548741
-5,908,550.368099
-4,808,550.906746
-5,562,551.486199
-5,482,551.78437
-5,628,552.412495
-5,625,553.048225
-5,485,553.363966
-5,728,554.062616
-4,793,554.811891
-4,969,555.718485
-5,1087,556.688135
-5,636,557.100136
-4,1131,558.060239
-5,558,558.670645
-5,840,559.451996
-5,745,559.930706
-5,902,560.78174
-5,1004,561.64259
-5,729,562.377336
-5,1066,563.297955
-5,619,563.930917
-5,953,564.773037
-5,795,565.287802
-5,546,565.884296
-5,987,566.761071
-5,670,567.412966
-5,847,567.97765
-5,737,568.685876
-5,780,569.42103
-5,708,570.096809
-4,1687,571.445465
-5,789,572.284985
-5,532,572.637593
-5,753,573.346098
-5,650,573.971987
-5,574,574.367677
-5,847,575.240097
-5,719,575.917424
-5,1241,576.974398
-4,841,577.761722
-5,1017,578.652952
-5,686,579.326892
-5,1008,580.231292
-5,522,580.569175
-5,741,581.27915
-5,712,581.99463
-4,727,582.488675
-5,863,583.273106
-4,801,584.054319
-5,729,584.79699
-5,846,585.388854
-5,848,586.151274
-5,1230,587.244678
-5,602,587.852235
-5,664,588.524335
-5,1145,589.492733
-5,1116,590.478537
-5,844,591.316883
-3,999,592.210581
-5,872,592.991072
-5,590,593.403303
-5,1255,594.480839
-5,1368,595.837606
-5,619,596.241302
-5,546,596.821961
-5,738,597.519236
-5,659,597.942061
-5,982,598.803785
-5,579,599.393156
-5,476,599.71166
-4,1008,600.580426
-5,989,601.455936
-5,891,602.38195
-5,799,603.111335
-5,934,603.949952
-4,1210,604.957746
-5,951,605.889187
-5,768,606.649201
-5,860,607.212572
-5,1016,608.112582
-5,813,608.860267
-3,1347,609.960553
-5,729,610.644224
-4,1109,611.597805
-5,718,612.293092
-4,813,613.037046
-5,578,613.413283
-5,702,614.099944
-5,1347,615.200277
-5,685,615.886551
-5,1827,617.511414
-5,1019,618.46727
-5,1140,619.583405
-5,786,620.407977
-5,715,620.872354
-4,1205,622.116537
-4,1110,623.052532
-4,1022,623.95034
-5,921,624.756753
-5,663,625.232017
-4,788,626.069629
-5,673,626.712414
-4,826,627.250654
-4,942,628.063607
-5,730,628.779281
-5,1172,629.821699
-5,560,630.41114
-5,804,630.981869
-5,859,631.804791
-5,795,632.530708
-5,602,633.149489
-5,824,633.910852
-4,818,634.458778
-5,601,635.063705
-5,729,635.814452
-5,708,636.279514
-5,729,637.060796
-5,599,637.769867
-5,724,638.339155
-5,1384,639.761636
-5,690,640.203321
-5,1129,641.134677
-5,1255,642.353332
-5,1221,643.474827
-5,851,644.303475
-5,771,644.854442
-5,918,645.648404
-5,853,646.409844
-5,980,647.276187
-4,1388,648.373962
-5,756,649.106721
-5,697,649.806056
-5,894,650.623112
-5,680,651.09014
-2,1303,652.37361
-5,826,653.177005
-5,899,653.757203
-4,1249,655.007413
-5,838,655.554945
-5,1627,657.083722
-5,856,657.858947
-5,831,658.614616
-5,1370,659.744473
-5,801,660.479106
-4,833,661.231543
-5,771,661.731442
-5,707,662.398627
-4,772,663.144836
-5,864,663.973086
-5,726,664.451914
-5,732,665.156173
-5,1330,666.249548
-4,1313,667.64251
-5,1014,668.523651
-5,743,669.013635
-5,1424,670.378156
-5,637,670.822884
-4,1347,672.233073
-5,700,672.735595
-5,666,673.439683
-4,1244,674.480136
-5,902,675.290434
-5,954,676.222525
-5,982,677.078318
-5,936,678.054964
-5,1192,679.187101
-5,1099,680.129322
-5,749,680.822987
-5,1420,681.948429
-5,765,682.665941
-5,1029,683.572104
-5,643,684.208243
-5,1211,685.21064
-5,1350,686.342297
-5,864,687.103732
-5,1069,688.023261
-5,699,688.809797
-5,914,689.638322
-5,1253,690.657342
-5,924,691.504599
-5,857,692.274534
-5,1550,693.519702
-5,898,694.320664
-5,658,694.96649
-5,1094,695.98963
-5,1124,696.945972
-5,608,697.334487
-5,1419,698.755701
-5,769,699.537455
-5,890,700.189785
-5,1135,701.138592
-5,849,701.936177
-5,892,702.734528
-5,1054,703.655312
-5,864,704.458944
-5,1240,705.473994
-5,1365,706.800436
-5,1094,707.711098
-5,865,708.557334
-5,1148,709.708553
-5,947,710.560498
-5,973,711.482164
-4,1126,712.617747
-5,1140,713.592764
-5,1228,714.607357
-5,1266,715.730752
-5,805,716.545021
-5,845,717.349185
-5,871,718.143589
-5,1147,719.111932
-4,870,719.885252
-5,914,720.514544
-5,957,721.331199
-5,747,722.048509
-5,674,722.798131
-5,1270,723.987933
-5,1229,725.015502
-4,1333,726.405704
-4,1505,727.740314
-5,1032,728.730534
-5,1011,729.594143
-5,978,730.540799
-4,1419,731.713689
-5,1448,733.108178
-5,778,733.827696
-4,1260,734.952521
-5,1077,735.885192
-5,2128,737.724635
-5,1078,738.650125
-5,931,739.458014
-5,1099,740.391878
-5,1170,741.371242
-5,909,742.181072
-5,1120,743.133969
-5,1990,744.985318
-5,961,745.825396
-5,967,746.659994
-5,1045,747.564246
-5,1000,748.566421
-5,1025,749.572829
-5,948,750.501892
-5,1001,751.387081
-5,1781,752.978422
-5,1499,754.185382
-5,1296,755.427293
-5,944,756.304268
-5,973,757.172733
-5,1609,758.641949
-5,1282,759.719686
-5,449,760.01061
-5,1023,760.901142
-5,850,761.693473
-5,1273,762.761119
-5,777,763.501832
-5,882,764.286204
-5,1006,765.157749
-5,1524,766.579341
-5,1091,767.650005
-5,1011,768.554106
-5,1271,769.605842
-4,2004,771.347662
-5,1179,772.317233
-5,1907,774.032719
-5,1481,775.21657
-5,860,776.01179
-5,1074,776.911035
-5,1907,778.616431
-5,2272,780.532338
-5,917,781.340517
-5,1093,782.36952
-2,2840,784.939038
-5,1275,786.007732
-5,1613,787.504953
-5,2132,789.406003
-5,1050,790.324507
-4,1132,791.2821
-5,1339,792.391116
-5,1334,793.699915
-5,1052,794.608638
-4,993,795.474446
-5,817,796.027973
-4,1885,797.686605
-5,1612,799.188341
-5,939,800.004088
-5,1121,801.093442
-4,1609,802.418825
-5,1261,803.685666
-5,2480,805.790197
-5,1733,807.363229
-5,1897,809.046563
-5,1365,810.16199
-5,1407,811.28688
-5,1421,812.759809
-4,2586,814.851564
-5,1102,815.785944
-5,2132,817.688977
-3,2045,819.48967
-4,2806,822.00045
-4,1972,823.812711
-5,1368,824.922074
-5,2904,827.564361
-5,2699,829.965057
-5,1521,831.170619
-5,1830,832.931605
-5,2191,834.866485
-5,1682,836.402834
-3,1533,837.637691
-1,3000,840.229522
-5,1116,841.183656
-4,2846,843.77381
-5,2826,846.281624
-5,1771,847.905016
-5,2054,849.849097
-5,1483,851.137078
-5,954,851.970469
-5,1711,853.654706
-5,2725,855.876332
-5,2326,858.09223
-5,1358,859.240736
-5,1662,860.746409
-5,2115,862.633714
-2,3000,865.364264
-4,2737,867.563631
0,3000,870.472447
-5,2547,872.797267
-5,1341,873.900978
-5,2895,876.431044
-4,2967,879.048249
-5,2426,881.065611
0,3000,883.690498
-5,2810,886.290437
-5,2583,888.427692
-1,3000,891.081296
-5,1932,892.881762
-4,2366,894.885514
-5,1842,896.569773
-5,2476,898.895578
-5,2423,900.938095
-4,3000,903.826299
-4,2225,905.803375
-5,1261,906.854867
-5,2704,909.257471
-4,2272,911.207046
-5,2658,913.627335
-2,3000,916.309731
-5,2829,918.620427
-5,1315,919.898194
-5,2546,922.041379
-4,3000,924.680651
-5,2495,926.955896
-3,3000,929.54521
-3,3000,932.012009
-2,3000,934.646547
-5,2172,936.846958
-5,1433,938.012369
-3,3000,940.64779
-4,2578,942.812506
-2,3000,945.438136
-3,3000,948.050576
-5,1252,949.104712
-4,3000,951.874831
-4,2337,954.028657
-4,3000,956.750582
-5,2005,958.612705
-3,3000,961.355446
-3,3000,963.781553
-5,1859,965.412226
-5,2624,967.868037
-5,1228,968.903011
-5,1941,970.615938
-4,1219,971.663839
-5,1208,972.678659
-4,2386,974.971666
-5,2481,977.005561
-5,1790,978.635827
-4,3000,981.477592
-2,3000,984.272747
-3,3000,986.918514
0,3000,989.34343
-4,2744,991.806106
-2,3000,994.467837
-3,3000,997.164522
-4,3000,1000.082846
-2,3000,1002.859186
-3,3000,1005.533725
-5,2309,1007.548617
-2,3000,1010.220483
-3,3000,1012.874213
-5,2217,1014.758081
-5,1901,1016.422119
0,3000,1019.107393
0,3000,1021.7198
-1,3000,1024.321606
0,3000,1027.237978
-3,3000,1029.899087
-5,2483,1031.965105
-5,1658,1033.621142
-5,2805,1035.967149
-5,1678,1037.544754
-2,3000,1040.37247
1,3000,1043.064128
-5,2436,1045.091163
-2,3000,1047.813032
-1,3000,1050.523024
-3,3000,1053.148188
-5,2780,1055.636219
1,3000,1058.316124
-2,3000,1060.922953
0,3000,1063.507049
-1,3000,1066.08868
-3,3000,1068.765162
-2,3000,1071.47121
0,3000,1074.259141
-2,3000,1076.914394
-2,3000,1079.854686
-2,3000,1082.536125
-1,3000,1085.414869
-1,3000,1088.095121
-3,3000,1090.751709
0,3000,1093.463055
-1,3000,1096.086787
-4,3000,1098.735815
-4,1617,1100.025002
-2,3000,1102.74858
-1,3000,1105.37928
-5,2872,1107.991209
-5,1423,1109.15007
-2,3000,1111.792059
-3,3000,1114.423116
-4,3000,1117.068588
-4,3000,1119.710402
0,3000,1122.366106
-2,3000,1125.116816
0,3000,1127.885201
-4,3000,1130.509955
-2,3000,1133.154831
-3,3000,1135.79535
-3,3000,1138.495436
-3,3000,1140.944747
-2,3000,1143.635879
0,3000,1146.393625
-5,2600,1148.868926
-1,3000,1151.820337
-3,3000,1154.586766
-5,1603,1155.928204
-4,2389,1158.157318
-5,1995,1159.921509
0,3000,1162.33268
-2,3000,1164.973196
-4,2592,1167.383379
-5,2236,1169.341226
-2,3000,1172.072267
